orth	code	typ MWE (wszystko OK = poprawna grupa składniowa niebędąca ani nazwą własną, ani deskrypcją określoną)	intuicyjnie termin?	intuicyjnie MWLU? (wg testu Słowosieci)	komentarz	wyraz uwięziony / znaczenie uwięzione	termin (wg procedury Słowosieci)	parafraza (wg procedury Słowosieci)	decyzja (wg procedury Słowosieci i kolumn D, E, F)	czy typ strukturalny N+Adj
sarkofagowej mensie	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
serwisie aukcyjnym	0.0	wszystko OK				NIE	NIE	NIE	MWLU	TAK
siedmioletniej dziewczynki	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
składaną kolbą	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
skrajna nieodpowiedzialność	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
skurcze macicy	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
soku żołądkowego	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
solennej wotywie	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
soli fizjologicznej	1.0	wszystko OK				NIE	TAK	NIE	MWLU	TAK
spadkobierczyni testamentowa	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
spędzenie wakacji	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
spirytusem salicylowym	1.0	wszystko OK				TAK	TAK	NIE	MWLU	TAK
spłuczką podtynkową	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
stonka ziemniaczana	0.0	wszystko OK				NIE	TAK	NIE	MWLU	TAK
stosunku prawnego	0.0	wszystko OK			https://pl.wikipedia.org/wiki/Stosunek_prawny	NIE	TAK	TAK	MWLU	TAK
strefie przygranicznej	0.0	wszystko OK			ALE! strefa nadgraniczna może już być wjl	NIE	NIE	TAK	non-MWLU	TAK
stumiliardowej wata	[0. 1.]	urwana fraza								
subdiakon przyklęka	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
sucharki bezcukrowe	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
szarża ułańska	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
szef zespołu	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
sześciopunktowe prowadzenie	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
śpiewu gregoriańskiego	0.0	wszystko OK				NIE	NIE	NIE	MWLU	TAK
średniopłat wolnonośny	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
takie zestawienie	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
tamie bobrowej	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
tęgie głowy	0.0	wszystko OK				NIE	NIE	NIE	MWLU	NIE
tłuszczaka wewnątrzkanałowego	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
tort bezowy	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
towaru zgodnego	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
uchyłków przełyku	1.0	wszystko OK				NIE	TAK	TAK	MWLU	NIE
uczestników postępowania	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
układzie inercjalnym	[0. 1.]	wszystko OK				TAK	TAK	TAK	MWLU	TAK
uniżoną supliką	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
uprzęży wspinaczkowej	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
uroczystościach kościelnych	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
uświadomienie seniorom	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
van der	1.0	błąd - niepolska zbitka wyrazów								
watowaną jubkę	[0. 1.]	błąd - niegramatyczna fraza			"jubka to prawdopodobnie kontaminacja ""jupki"" i ""szubki"""					
widzenia obuocznego	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
wierzchem dłoni	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
wieży zamkowej	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
winodań abisyńska	[0. 1.]	wszystko OK				NIE	TAK	NIE	MWLU	TAK
wizytowania parafii	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
wkroczeniu wojsk	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
właściwą odpowiedź	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
włoskiego zespołu	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
wytrzymałej obudowie	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
wyżłów weimarskich	[0. 1.]	wszystko OK				NIE	TAK	NIE	MWLU	TAK
zadłużenie czynszowe	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
zaprzysięgania brakarzy	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
zasadzie dobrowolności	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
zbór kalwiński	1.0	wszystko OK				NIE	TAK	NIE	MWLU	TAK
zerodowaną kuestą	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
zespół dworski	[0. 1.]	wszystko OK				NIE	NIE	NIE	MWLU	TAK
zespół pałacowy	1.0	wszystko OK				NIE	NIE	NIE	MWLU	TAK
zgniłego kompromisu	0.0	wszystko OK				NIE	NIE	NIE	MWLU	NIE
zgoda rodzica	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
zgodności interoperacyjnej	1.0	wszystko OK				NIE	NIE	NIE	MWLU	TAK
zielone oczy	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
zwieracza przełyku	1.0	urwana fraza			DOLNY zwieracz przełyku	NIE	NIE	TAK	non-MWLU	NIE
żup solnych	1.0	wszystko OK				NIE	NIE	NIE	MWLU	TAK
2007 01	1.0	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
maja 2013	0.0	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
11 sierpnia	0.0	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
13 grudnia	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
1 raz	1.0	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
13 mikrona	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
1618 antyhabsburski	1.0	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
1938 roku	1.0	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
4 etatu	0.0	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
administratorem parafii	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	
akcji ratowania	0.0	urwana fraza							non-MWLU	
album grupy	0.0	urwana fraza							non-MWLU	
alfabetem niełacińskim	[0. 1.]	wszystko OK				NIE	TAK	NIE	MWLU	TAK
alfabetów odłacińskich	1.0	błąd - literówka			literówka i urwana fraza 				non-MWLU	
amba fatima	[0. 1.]	błąd - niepolska zbitka wyrazów							non-MWLU	
analizy sytuacji	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
armii austriackiej	[0. 1.]	wszystko OK				NIE	NIE	NIE	non-MWLU	TAK
assemblage korsykański	1.0	błąd - niepolska zbitka wyrazów							non-MWLU	
balans bolidu	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
bekas dubelt	[0. 1.]	wszystko OK			ptak	NIE	TAK	TAK	MWLU	NIE
bomu spinakera	1.0	błąd - niegramatyczna fraza			osobno 'bom', 'spinakerbom' = termin, z niderlandzkiego	NIE	NIE		non-MWLU	
born in	1.0	błąd - niepolska zbitka wyrazów							non-MWLU	
brak zgody	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
budowla jednonawowa	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
bulli papieża	[0. 1.]	urwana fraza			którego?				non-MWLU	
całego przedsięwzięcia	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
celofanowy woreczek	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
ciąży mnogiej	1.0	wszystko OK				NIE	TAK	NIE	MWLU	TAK
cienkie paski	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
cyrkulację krwi	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
cystotomii nadłonowej	[0. 1.]	błąd - literówka			Znalazłam 'cystostomia nadłonowa'				non-MWLU	
czuły punkt	1.0	wszystko OK				NIE	NIE	NIE	MWLU	TAK
destylacja azeotropowa	1.0	wszystko OK				NIE	TAK	TAK	MWLU	TAK
dnia 13	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
dnia 19	1.0	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
drodze wylotowej	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
drugośniadaniową bułą	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
dysponowania nieruchomością	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
dyzenterię cesarzewicza	[0. 1.]	urwana fraza			zapewne chodzi o czerwonkę u któregoś z rosyjskich następców tronu... 				non-MWLU	
dziecięcych marzeń	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
dziesięcioletnie doświadczenie	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
eposie homeryckim	1.0	wszystko OK				NIE	TAK	TAK	MWLU	TAK
flamandzcy separatyści	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
funduszu udziałowego	1.0	wszystko OK				NIE	TAK	TAK	MWLU	TAK
futura 2345	1.0	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
głównym ołtarzu	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
godzinie 13	1.0	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
grota solna	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
guza potylicznego	[0. 1.]	wszystko OK			doraźne metaforyczne	NIE	NIE	TAK	non-MWLU	TAK
hamowni podwoziowej	1.0	wszystko OK			magazyny o samochodach + hamownia - Encyklopedia PWN - źródło wiarygodnej i rzetelnej wiedzy	NIE	NIE	TAK	non-MWLU	TAK
hipoteki kaucyjnej	1.0	wszystko OK				NIE	TAK	NIE	MWLU	TAK
hodowli karmowej	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
hubary saharyjskiej	1.0	wszystko OK				NIE	TAK	TAK	MWLU	TAK
ilorazu pochodnych	1.0	urwana fraza			pochodna ilorazu funkcji	NIE			non-MWLU	
ilością paliwa	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
in.ze wg.na	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
interpolacji dwukwadratowej	1.0	wszystko OK				NIE	TAK	NIE	MWLU	TAK
jedna rzecz	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
jęczmienia słodowego	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
języku arabskim	[0. 1.]	wszystko OK				NIE	TAK	NIE	MWLU	TAK
języku aramejskim	[0. 1.]	wszystko OK				NIE	TAK	NIE	MWLU	TAK
kaletką podbarkową	1.0	wszystko OK			anatomia	NIE	TAK	NIE	MWLU	TAK
kędzierzawej czuprynie	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
klasztor bernardynów	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
klasztoru franciszkanów	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
klawiatura brajlowska	1.0	wszystko OK			brajlowski' potoczne, por. pismo Braille'a	NIE	NIE	TAK	non-MWLU	TAK
kod aktywacyjny	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
kolonia zuchowa	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
kołem polarnym	1.0	wszystko OK			inaczej koło podbiegunowe	NIE	TAK	TAK	MWLU	TAK
komora bezechowa	[0. 1.]	wszystko OK				NIE	TAK	TAK	MWLU	TAK
komosy ryżowej	1.0	wszystko OK			gatunek komosy(en)	NIE	TAK	TAK	MWLU	TAK
kompatybilności elektromagnetycznej	1.0	wszystko OK				NIE	TAK	NIE	MWLU	TAK
kontroli rodzicielskiej	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
końca rundy	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
kopułę obserwacyjną	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
koralowców rafotwórczych	1.0	wszystko OK			preferowana pewnie 'koralowiec rafotwórczy', ale wychodzi na to samo.	NIE	TAK	TAK	MWLU	TAK
kości nosowej	1.0	wszystko OK			w zasadzie sitowa, anatomia	NIE	TAK	TAK	MWLU	TAK
kości piętowej	1.0	wszystko OK			guz piętowy	NIE	TAK	TAK	MWLU	TAK
krwi pępowinowej	1.0	wszystko OK				NIE	TAK	TAK	MWLU	TAK
kuwerturze kurzącej	1.0	urwana fraza							non-MWLU	
lewym kolanie	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
ludzkiej krwi	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
luzów zaworowych	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
łańcuch węglowodorowy	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
łykowatej koźliny	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
materii międzygwiazdowej	[0. 1.]	wszystko OK			EPWN	NIE	TAK	TAK	MWLU	TAK
mączki wapiennej	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
medycynie ludowej	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
mrugnięcie powieką	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
muru oporowego	1.0	wszystko OK			epwn	NIE	TAK	TAK	MWLU	TAK
nabłonka pochwy	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
naczyniopochodnego korowego	1.0	błąd - literówka			zabrakło przecinka, mowa zapewne o zespole otępiennym				non-MWLU	
niechasydzkie jesziwy	1.0	wszystko OK			sama jesziwa, chasydyzm są terminami, ale tutaj...? 	NIE			non-MWLU	TAK
niedokrwiennej serca	[0. 1.]	urwana fraza			choroba'				non-MWLU	
niedrożności pooperacyjnej	1.0	wszystko OK			może być czegokolwiek	NIE	NIE	TAK	non-MWLU	TAK
normalne funkcjonowanie	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
odcisk pieczęci	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
oficera armii	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
oficjalnym forum	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
określonych sytuacjach	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
oksydazy polifenolowej	1.0	wszystko OK				NIE	TAK	NIE	MWLU	TAK
okupacji niemieckiej	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
opłata egzekucyjna	1.0	wszystko OK			prawo, administracja	NIE	TAK	NIE	MWLU	TAK
opłaty prolongacyjnej	1.0	wszystko OK			prawo, administracja	NIE	TAK	TAK	MWLU	TAK
opłaty sądowej	1.0	wszystko OK			Sądowe ePłatności - Sądowe opłaty online (ms.gov.pl)	NIE	TAK	TAK	MWLU	TAK
opornica suwakowa	1.0	wszystko OK			fizyka	NIE	TAK	NIE	MWLU	TAK
oporności wielolekowej	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
orbicie geostacjonarnej	1.0	wszystko OK				NIE	TAK	NIE	MWLU	TAK
orbicie kołowej	1.0	wszystko OK			fizyka	NIE	TAK	NIE	MWLU	TAK
osoka aloesowa	1.0	błąd - literówka			aloesowata'				non-MWLU	
owczarek kaukaski	[0. 1.]	wszystko OK				NIE	TAK	TAK	MWLU	TAK
owczarka szwajcarskiego	1.0	wszystko OK			Uwaga na rasy psów, niewiele znajdziemy w encyklopedii, warto korzystać z klasyfikacji FCI i magazynów dla psiarzy	NIE	TAK	TAK	MWLU	TAK
owoców cytrusowych	0.0	wszystko OK			termin 'cytrusowe rosliny'	NIE	NIE	TAK	non-MWLU	TAK
parafii pw	1.0	urwana fraza							non-MWLU	
paserkę nieumyślną	1.0	błąd - niegramatyczna fraza			kolejność przydawki...				non-MWLU	
personelu pomocniczego	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
pico bello	[0. 1.]	błąd - niepolska zbitka wyrazów			pico bello' jest niepolskie, jednak w polszczyźnie używane - stwierdzam jednak, że nie powinno się znaleźć na liście (osobiście pierwszy raz to usłyszałam w Belgii). 				non-MWLU	
piłki plażowej	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	
pl.comp.dtp igor	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
płaszczyźnie poziomej	[0. 1.]	wszystko OK			anatomia, sama 'plaszczyzna' def. w matematyce. 	NIE	TAK	TAK	MWLU	
płomienny romans	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
pobożności maryjnej	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
pochodzenia wulkanicznego	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
podpinką polarową	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
pola magnetycznego	1.0	wszystko OK				NIE	TAK	NIE	MWLU	TAK
populistyczne hasła	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
posrebrzana obrączka	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
postawiona poprzeczka	[0. 1.]	urwana fraza			wysoko postawiona...'				non-MWLU	
pozbawioną sensu	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
poziom wykształcenia	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
półkuli północnej	[0. 1.]	wszystko OK				NIE	TAK	TAK	MWLU	TAK
pracownika socjalnego	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
projektu systemowego	0.0	wszystko OK			Czym jest projekt systemowy? - Ministerstwo Spraw Wewnętrznych i Administracji Instytucja Pośrednicząca - Portal Gov.pl (www.gov.pl)	NIE	TAK	NIE	MWLU	TAK
przeglądami zgodnie	[0. 1.]	urwana fraza							non-MWLU	
przekręceniu kluczyka	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
przetarg ustny	0.0	wszystko OK			inaczej licytacja, prawo	NIE	TAK	TAK	MWLU	TAK
przymkniętych powiek	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
rastafariańskiej meduzy	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
realne możliwości	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
regresja reinkarnacyjna	0.0	wszystko OK			hipnoza	NIE	TAK	NIE	MWLU	TAK
roku 2010	1.0	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
rozbitego samochodu	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
rozcięgna dłoniowego	[0. 1.]	wszystko OK			anatomia	NIE	TAK	NIE	MWLU	TAK
rozwodu rodziców	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
sadu apelacyjnego	1.0	błąd - literówka							non-MWLU	
salingiem fokmasztu	1.0	wszystko OK			żegl. hol.	NIE	TAK	NIE	MWLU	NIE
salingiem grotmasztu	[0. 1.]	wszystko OK			żegl. hol.	NIE	TAK	NIE	MWLU	NIE
samiczego mklika	[0. 1.]	urwana fraza			mklik mączny, ale nie samiczy; https://encyklopedia.pwn.pl/szukaj/mklik%20m%C4%85czny.html				non-MWLU	
serek mascarpone	1.0	wszystko OK				TAK	NIE	TAK	non-MWLU	NIE
skargi kasacyjnej	[0. 1.]	wszystko OK			prawo, adm	NIE	TAK	NIE	MWLU	TAK
skazy moczanowej	1.0	wszystko OK			inaczej dna	NIE	TAK	NIE	MWLU	TAK
skoliozę lewowypukłą	[0. 1.]	wszystko OK				NIE	TAK	NIE	MWLU	TAK
soczewki asferyczne	[0. 1.]	wszystko OK			fizyka, optyka	TAK	TAK	NIE	MWLU	TAK
sondy lambda	[0. 1.]	wszystko OK				NIE	TAK	NIE	MWLU	NIE
stosunków międzyludzkich	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
studni wodomierzowej	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
sur le	1.0	błąd - niepolska zbitka wyrazów							non-MWLU	
syropem klonowym	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
szalupie ratunkowej	1.0	wszystko OK			szalupa epwn	NIE	TAK	NIE	MWLU	TAK
szarozębowej ścieżynie	1.0	urwana fraza							non-MWLU	
szkła weneckiego	1.0	wszystko OK			weneckie szkło, szkło artystyczne	NIE	TAK	TAK	MWLU	TAK
szpicy monococku	1.0	błąd - niepolska zbitka wyrazów							non-MWLU	
szylinga kenijskiego	1.0	wszystko OK				NIE	TAK	NIE	MWLU	TAK
teorii poznania	0.0	wszystko OK			filozofia poznania	NIE	TAK	TAK	MWLU	NIE
teorii spiskowych	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
tromboliza dotętnicza	1.0	wszystko OK			medycyna	NIE	TAK	NIE	MWLU	TAK
trójczłonową buławką	[0. 1.]	wszystko OK				NIE	TAK	NIE	MWLU	TAK
trupią czaszką	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
tunelu aerodynamicznym	1.0	wszystko OK				NIE	TAK	TAK	MWLU	TAK
tył bolidu	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
umrze albo	0.0	urwana fraza							non-MWLU	
urzędu konsularnego	1.0	wszystko OK			prawo	NIE	TAK	TAK	MWLU	TAK
uwagę to	0.0	urwana fraza							non-MWLU	
warstwę ochronną	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
wieży kontrolnej	[0. 1.]	wszystko OK				NIE	TAK	TAK	MWLU	TAK
win bordoskich	0.0	wszystko OK			EPWN	NIE	TAK	TAK	MWLU	TAK
wirującą obudową	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
worka spojówkowego	1.0	wszystko OK			spojówka, medycyna, https://anatomia.wum.edu.pl/edu/czlek/czlekoko.htm	NIE	TAK	NIE	MWLU	TAK
wpłaceniu zaliczki	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
współczesnej literatury	0.0	wszystko OK			teoria literatury, epoka literacka - nie do końca gra kolejność przydawek, ale puszczam	NIE	TAK	TAK	MWLU	TAK
współczynnik inbredu	1.0	wszystko OK			https://encyklopedia.pwn.pl/haslo/inbred;3914460.html oraz https://pancogito.pl/wspolczynnik-inbredu/ 	TAK	TAK	NIE	MWLU	NIE
wszyscy zgromadzeni	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
wypożyczalnia rowerów	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
wypraw polarnych	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
wystrzelaniu 130000	1.0	błąd - niewłaściwie rozpoznany typ strukturalny							non-MWLU	
wywiadów telefonicznych	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
zabudowany balkon	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
zaczepienie bezetatowo	1.0	urwana fraza							non-MWLU	
zakonu augustianów	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
zakonu krzyżackiego	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
zakonu templariuszy	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
zakresie ubezpieczeń	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
załoga nawigatora	[0. 1.]	urwana fraza			prawdopodobnie chodzi o: https://szczecin.wyborcza.pl/szczecin/7,34939,716863.html  , tak czy inaczej urwana fraza lub nazwa własna				non-MWLU	
zamek baskwilowy	[0. 1.]	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
zamku krzyżackiego	1.0	wszystko OK				NIE	NIE	TAK	non-MWLU	TAK
zawodnik drużyny	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	NIE
zbór ariański	1.0	wszystko OK								TAK
zespół nadpobudliwości	1.0	urwana fraza			adhd					
żwirowej pułapce	1.0	wszystko OK			metafora	NIE	NIE	TAK	non-MWLU	TAK
życie towarzyskie	0.0	wszystko OK				NIE	NIE	TAK	non-MWLU	tak
sierpnia 2003	0.0	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
2006 01	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
grudnia 2008	0.0	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
2009 06	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
września 2010	1.0	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
13 stycznia	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
13 maja	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
13 września	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
19 września	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
11 października	0.0	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
1433 12.0.0.0	1.0	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
1791 roku	1.0	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
1795 roku	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
1810 roku	1.0	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
1897 roku	1.0	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
1902 roku	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
1930 roku	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
1933 roku	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
1934 roku	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
1969 roku	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
1979 roku	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
76 minucie	0.0	błąd - niewłaściwie rozpoznany typ strukturalny		NIE						
ablacji wewnątrzżylnej	1.0	wszystko OK	TAK	TAK						
ad absurdum	[0. 1.]	błąd - niepolska zbitka wyrazów		NIE						
ad rem	[0. 1.]	błąd - niepolska zbitka wyrazów		NIE						
adsorpcji nadkrytycznej	1.0	urwana fraza		NIE						
afera singapurska	[0. 1.]	deskrypcja określona								
afrykanek senegalskich	1.0	wszystko OK	TAK	TAK						
agunia bunia	[0. 1.]	deskrypcja określona			Małe litery, jednak wygląda na przezwisko. 					
alergii wziewnej	1.0	wszystko OK	TAK	RACZEJ TAK						
alfabetem arabskim	1.0	wszystko OK	TAK	RACZEJ TAK						
ante portas	0.0	błąd - niepolska zbitka wyrazów								
aorty brzusznej	1.0	wszystko OK	TAK	RACZEJ TAK						
baką policzkową	1.0	wszystko OK	NIE	RACZEJ NIE						
baon saperów	1.0	błąd - literówka			batalion?					
bardzo trudne	0.0	błąd - niewłaściwie rozpoznany typ strukturalny								
