type	first_word	second_word
ADJ+NOUN	wydawanego	nakładem
ADJ+NOUN	Polskiego	Towarzystwa
NOUN+ADJ	Towarzystwa	Muzycznego
ADP+NOUN	W	tle
NOUN+VERB	tle	słyszał
ADJ+NOUN	monotonny	płacz
ADJ+NOUN	koneckich	gimnazjach
NOUN+VERB	trzecioklasiści	pisali
ADP+NOUN	z	wiedzy
NOUN+ADJ	wiedzy	humanistycznej
VERB+NOUN	zaspokajać	ciekawości
ADJ+NOUN	zelektryfikowanych	wsi
ADJ+NOUN	Norweski	podróżnik
ADJ+NOUN	ostatnia	wyprawa
ADP+NOUN	na	przykład
NOUN+ADJ	grup	inicjatywnych
VERB+NOUN	zorganizować	wybory
ADP+NOUN	Wedle	wersji
NOUN+ADJ	wersji	zaprezentowanej
ADJ+NOUN	zaprezentowanej	sądowi
NOUN+VERB	sprawa	wyglądała
NOUN+VERB	oskarżona	przechodziła
VERB+NOUN	przechodziła	ulicę
ADP+NOUN	dla	pieszych
NOUN+VERB	motocykl	uderzył
VERB+PRON	uderzył	ją
ADP+NOUN	w	momencie
ADJ+NOUN	przeciwległy	chodnik
VERB+PRON	skoczy	mu
ADP+NOUN	do	gardła
NOUN+VERB	Chłopiec	wstaje
VERB+NOUN	otwiera	drzwi
ADJ+NOUN	ideowy	socjalista
ADJ+NOUN	Pierwsza	dama
ADP+NOUN	na	zaproszenie
NOUN+NOUN	podjęcie	zatrudnienia
ADJ+NOUN	wewnętrzny	spokój
VERB+NOUN	potwierdził	rzecznik
VERB+PRON	wynika	to
ADJ+NOUN	odpowiednich	badań
NOUN+ADJ	badań	porównawczych
ADP+NOUN	od	kołyski
NOUN+VERB	kołyski	wpaja
VERB+PRON	wpaja	się
ADP+NOUN	w	rękach
ADJ+NOUN	własnego	życia
NOUN+ADJ	osoby	uprawiające
ADJ+NOUN	uprawiające	malarstwo
ADJ+NOUN	określane	terminami
NOUN+ADJ	twórcy	ludowi
NOUN+NOUN	artyści	dnia
NOUN+ADJ	dnia	siódmego
VERB+PRON	wywieźć	je
ADP+NOUN	na	wystawie
NOUN+ADJ	wystawie	przemysłowej
VERB+PRON	odbyła	się
ADJ+NOUN	zeszłym	roku
NOUN+ADJ	samochody	transportowe
ADP+NOUN	z	pomocą
ADP+NOUN	dla	powodzian
ADJ+NOUN	Polskiej	Akcji
NOUN+ADJ	Akcji	Humanitarnej
NOUN+NOUN	Decyzja	Rady
NOUN+NOUN	Rady	Polityki
NOUN+ADJ	Polityki	Pieniężnej
ADP+NOUN	o	obniżeniu
NOUN+NOUN	obniżeniu	oprocentowania
VERB+NOUN	osłabić	złotówkę
ADJ+NOUN	Lubelska	Spółdzielnia
NOUN+ADJ	Spółdzielnia	Mieszkaniowa
VERB+NOUN	zdobyła	certyfikat
NOUN+NOUN	certyfikat	jakości
NOUN+VERB	Siostry	winny
VERB+NOUN	uczyć	języka
NOUN+NOUN	języka	ludzi
NOUN+ADJ	języka	francuskiego
NOUN+NOUN	lingua	franca
ADJ+PRON	właściwym	sobie
NOUN+VERB	obiektywizmem	przemilczały
ADP+NOUN	Po	skompletowaniu
NOUN+ADJ	skompletowaniu	28
ADJ+NOUN	28	lipca
NOUN+ADJ	lipca	1943
ADP+NOUN	w	portach
NOUN+ADJ	portach	japońskich
VERB+NOUN	kończąc	szkolenie
NOUN+NOUN	szkolenie	załogi
NOUN+VERB	goście	opuścili
ADJ+NOUN	63-letni	emeryt
ADP+NOUN	do	sprzeczki
ADJ+NOUN	pisemnym	egzaminie
NOUN+ADJ	język	polski
VERB+NOUN	typują	tematy
NOUN+ADJ	tematy	związane
ADP+NOUN	z	przełomem
NOUN+NOUN	przełomem	wieków
ADP+NOUN	ze	złości
ADP+NOUN	na	kawałki
VERB+PRON	wyjawi	im
ADP+NOUN	w	pośpiechu
NOUN+VERB	pośpiechu	burzą
ADP+NOUN	ze	strachu
NOUN+VERB	strachu	włażą
ADP+NOUN	na	ściany
VERB+PRON	bulwersowało	to
ADJ+NOUN	obyczajowe	tabu
NOUN+ADJ	tabu	związane
ADP+NOUN	z	podziałem
NOUN+NOUN	podziałem	płci
ADP+NOUN	z	oskarżonych
ADP+NOUN	co	prawda
ADJ+NOUN	więziennych	gierkach
NOUN+NOUN	termin	rozpoczęcia
NOUN+NOUN	rozpoczęcia	inwestycji
ADJ+NOUN	2009	roku
VERB+NOUN	Unikajmy	toreb
NOUN+ADJ	toreb	foliowych
VERB+NOUN	pokiwał	głową
ADP+NOUN	z	rezygnacją
NOUN+NOUN	gatunki	ryb
ADP+NOUN	na	miejsca
ADJ+NOUN	zimowego	odpoczynku
NOUN+NOUN	Sprawą	włamania
ADP+NOUN	do	domu
NOUN+NOUN	domu	wokalistki
NOUN+ADJ	wokalistki	Blue
ADP+NOUN	z	komisariatu
ADJ+NOUN	przygotowanego	regulaminu
NOUN+NOUN	regulaminu	podwyżek
ADJ+NOUN	brakującej	kwoty
ADJ+NOUN	sierpniowej	sesji
NOUN+NOUN	sesji	Rady
NOUN+NOUN	Rady	Miasta
ADJ+NOUN	czysty	przypadek
ADP+NOUN	na	miejscu
ADP+NOUN	z	komisariatu
NOUN+ADJ	komisariatu	kolejowego
ADJ+NOUN	opłakanym	stanie
NOUN+NOUN	zbadania	sprawy
NOUN+ADJ	Teatr	Nowy
VERB+NOUN	zainaugurował	sezon
NOUN+ADJ	Kurką	wodną
ADP+NOUN	w	reżyserii
ADP+NOUN	w	akademiku
ADP+NOUN	na	waleta
NOUN+VERB	Wolontariusze	segregują
VERB+NOUN	segregują	odzież
ADJ+NOUN	wcześniejszego	zapotrzebowania
NOUN+NOUN	zapotrzebowania	rodzin
VERB+NOUN	ma	wątpliwości
NOUN+NOUN	grupie	klientów
ADP+NOUN	bez	znaczenia
VERB+PRON	przekształcić	się
ADP+NOUN	w	bank
NOUN+ADJ	bank	uniwersalny
ADP+NOUN	dla	przedsiębiorstw
ADP+NOUN	dla	ludności
ADP+NOUN	Po	ataku
ADP+NOUN	na	środowiska
NOUN+ADJ	środowiska	prawnicze
NOUN+NOUN	partia	braci
VERB+PRON	przygotowuje	się
ADP+NOUN	do	rozprawy
ADP+NOUN	z	lewicą
ADP+NOUN	z	pudełka
ADJ+NOUN	zapomniany	kwadracik
ADJ+NOUN	ptasiego	mleczka
VERB+PRON	nalała	sobie
ADJ+NOUN	francuskiego	strzemiennego
ADJ+NOUN	suchych	posadzkach
NOUN+VERB	posadzkach	ruszyła
ADP+NOUN	ku	wyjściu
ADP+NOUN	z	wściekłości
ADJ+NOUN	podwójne	ryzyko
NOUN+NOUN	rozpoczęcie	działalności
NOUN+ADJ	działalności	gospodarczej
ADJ+NOUN	nowego	świata
ADP+NOUN	w	konkursie
NOUN+NOUN	konkursie	magazynu
NOUN+ADJ	magazynu	turystycznego
ADP+NOUN	na	liście
NOUN+NOUN	liście	laureatów
NOUN+NOUN	laureatów	konkursu
NOUN+NOUN	pereł	architektury
NOUN+ADJ	architektury	polskiej
ADP+NOUN	po	pas
VERB+PRON	zwą	ją
NOUN+ADJ	Doliną	Leśną
ADJ+NOUN	Tarnowskie	Góry
VERB+PRON	uwzględnić	je
ADP+NOUN	w	planach
NOUN+NOUN	planach	utworzenia
NOUN+NOUN	utworzenia	miasta
ADP+NOUN	w	przyszłości
NOUN+ADJ	przyszłości	zmienione
ADJ+NOUN	zmienione	granice
NOUN+ADJ	granice	administracyjne
NOUN+ADJ	starosta	tarnogórski
ADJ+NOUN	samym	początku
NOUN+VERB	początku	narzucił
ADJ+NOUN	ogromne	tempo
VERB+NOUN	lokalizuje	miejsca
VERB+PRON	kryją	się
ADJ+NOUN	poszczególnym	sprawom
ADJ+NOUN	ustawione	rzędem
NOUN+NOUN	tabele	cyfr
NOUN+NOUN	losy	ludzi
ADP+NOUN	ze	statystyk
NOUN+ADJ	człowiek	stojący
ADJ+NOUN	zdemoralizowanym	establishmentem
VERB+NOUN	jest	grupa
ADJ+NOUN	młodych	ludzi
VERB+PRON	potrzebuje	ich
NOUN+VERB	latem	promieniała
ADJ+NOUN	opalizującymi	kolorami
NOUN+NOUN	kolorami	natury
ADP+NOUN	W	zamku
NOUN+NOUN	zamku	Książąt
NOUN+ADJ	Książąt	Pomorskich
VERB+PRON	zebrał	się
NOUN+NOUN	tłum	uczniów
VERB+NOUN	obejrzeli	montaż
NOUN+ADJ	montaż	poetycko
ADP+NOUN	w	wykonaniu
NOUN+NOUN	wykonaniu	uczniów
VERB+PRON	proponuję	ci
ADJ+NOUN	następującej	afirmacji
ADJ+NOUN	achromatyczna	część
ADP+NOUN	w	reklamach
NOUN+ADJ	reklamach	telewizyjnych
NOUN+ADJ	ścieżka	dźwiękowa
ADP+NOUN	Ze	stolicy
NOUN+VERB	stolicy	przywiozła
VERB+NOUN	przywiozła	autokar
NOUN+NOUN	autokar	dziennikarzy
ADP+NOUN	z	drzewem
ADP+NOUN	na	wyścigi
ADP+NOUN	z	oberżystą
NOUN+VERB	radość	kipi
ADJ+NOUN	czerwony	sok
NOUN+ADJ	sok	burzący
ADJ+PRON	burzący	się
ADP+NOUN	na	słońcu
ADJ+NOUN	zakorkowanych	butelkach
ADJ+NOUN	korporacyjna	symbioza
ADP+NOUN	na	pozór
NOUN+ADJ	pozór	odległych
ADJ+NOUN	zawodową	wspólnotę
NOUN+NOUN	wspólnotę	organomistrza
ADP+NOUN	ze	stroicielem
NOUN+NOUN	stroicielem	fortepianów
ADJ+NOUN	nieodpłatną	reprodukcję
ADJ+NOUN	Sąsiednie	kraje
ADJ+NOUN	rozpoczęte	reformy
ADP+NOUN	do	końca
VERB+PRON	poprawiając	tym
NOUN+NOUN	sytuację	ludzi
VERB+NOUN	pomylił	lata
ADJ+NOUN	piżamowej	bluzki
ADJ+NOUN	różowe	kwiatki
ADJ+NOUN	damską	piżamę
ADP+NOUN	Na	pożywce
ADJ+PRON	pokazanej	mi
ADJ+NOUN	nieszablonowej	strategii
NOUN+ADJ	strategii	niosącej
ADJ+NOUN	dobrych	pomysłów
ADJ+NOUN	czerpiącej	garściami
ADP+NOUN	z	kosza
NOUN+NOUN	kosza	wartości
NOUN+ADJ	wartości	wypracowanych
ADJ+NOUN	wypracowanych	latami
ADJ+NOUN	krakowskie	studio
ADP+NOUN	do	stolika
ADJ+NOUN	Ostatni	zawodnicy
NOUN+NOUN	zawodnicy	maratonu
ADP+NOUN	na	metę
VERB+NOUN	Przedstawiają	graffiti
NOUN+ADJ	graffiti	szablonowe
ADP+NOUN	dzięki	technice
NOUN+NOUN	technice	prószenia
NOUN+NOUN	prószenia	farbą
ADP+NOUN	na	mur
ADP+NOUN	w	kartonie
VERB+NOUN	mówi	rzecznik
NOUN+NOUN	rzecznik	komendanta
NOUN+ADJ	komendanta	stołecznego
ADP+NOUN	przy	ognisku
NOUN+ADJ	Dysk	kompaktowy
ADP+NOUN	do	rozpowszechniania
VERB+PRON	odwrócił	się
ADP+NOUN	od	krzyża
ADJ+NOUN	miejscowemu	dealerowi
ADP+NOUN	przy	doręczaniu
NOUN+NOUN	doręczaniu	klientom
ADJ+NOUN	naiwną	wiarą
ADP+NOUN	w	możliwości
ADJ+NOUN	współczesnej	techniki
VERB+PRON	traktował	ją
NOUN+ADJ	zakłady	mleczarskie
ADP+NOUN	na	miejsce
NOUN+ADJ	żandarmeria	wojskowa
NOUN+ADJ	materiały	wybuchowe
VERB+NOUN	postawił	nagrobek
VERB+PRON	kierując	się
ADJ+NOUN	chrześcijańską	pokorą
ADP+NOUN	w	czasach
ADJ+NOUN	dawni	włodarze
NOUN+NOUN	włodarze	miasta
ADJ+NOUN	stołowych	zastaw
ADP+NOUN	na	sprzedaż
ADP+NOUN	z	resztek
ADJ+NOUN	dawnej	świetności
ADJ+NOUN	rodzinnych	grobowcach
ADP+NOUN	Za	wsią
ADP+NOUN	przy	trasie
ADP+NOUN	między	rzeką
NOUN+ADJ	rezerwat	leśny
ADJ+NOUN	rzadkie	fragmenty
NOUN+ADJ	fragmenty	leśne
NOUN+ADJ	olszy	czarnej
NOUN+NOUN	Alnus	glutinosa
NOUN+ADJ	jesionu	wyniosłego
NOUN+NOUN	Fraxinus	excelsior
NOUN+ADJ	świerka	pospolitego
NOUN+NOUN	Picea	excelsa
ADJ+NOUN	ulubioną	myszkę
VERB+NOUN	nadchodzi	godzina
NOUN+NOUN	godzina	pieszczot
VERB+NOUN	Chcesz	kawy
NOUN+VERB	napastnicy	zabrali
VERB+PRON	zabrali	mu
ADP+NOUN	o	wartości
ADP+NOUN	z	firm
ADJ+NOUN	dawnym	Orle
NOUN+ADJ	Orle	Białym
NOUN+NOUN	biuro	specjalistów
ADP+NOUN	dla	przedsiębiorstw
NOUN+ADJ	przedsiębiorstw	upadających
ADP+NOUN	w	trudnościach
ADP+NOUN	Od	poniedziałku
VERB+NOUN	Przygotować	krem
NOUN+VERB	mleko	gotować
ADP+NOUN	z	cukrem
ADJ+NOUN	płaskim	rondlu
ADJ+NOUN	małym	ogniu
ADP+NOUN	Do	użydowienia
NOUN+VERB	użydowienia	namówił
VERB+PRON	namówił	mnie
ADJ+NOUN	narodowy	szołmen
VERB+NOUN	Wystarczy	plomba
ADJ+NOUN	ostatnie	zdanko
ADP+NOUN	po	znajomości
NOUN+NOUN	Wysokość	mandatów
ADP+NOUN	za	część
NOUN+NOUN	część	wykroczeń
VERB+NOUN	dostosować	wymiar
NOUN+NOUN	wymiar	kary
ADJ+NOUN	Całymi	godzinami
VERB+PRON	było	Cię
ADP+NOUN	w	domu
NOUN+NOUN	Dziesiątki	tysięcy
ADP+NOUN	z	głodu
NOUN+NOUN	setki	tysięcy
ADP+NOUN	w	nędzy
ADP+NOUN	Do	wieczora
NOUN+VERB	wieczora	trwały
NOUN+NOUN	poszukiwania	ciał
ADJ+NOUN	polskich	marynarzy
NOUN+NOUN	pasażera	statku
VERB+PRON	Podać	coś
VERB+NOUN	przerobią	telefon
ADJ+NOUN	prawą	nogę
ADJ+NOUN	lewą	nogę
ADP+NOUN	pod	kątem
ADJ+NOUN	różnych	typów
NOUN+NOUN	typów	turystyki
NOUN+ADJ	właściwości	zdrowotno
NOUN+ADJ	cech	estetycznych
ADJ+NOUN	jakościowej	skali
NOUN+ADJ	skali	bonitacyjnej
VERB+NOUN	Oto	Epitafia
NOUN+NOUN	objawienie	światu
ADJ+NOUN	niezgłębionej	tajemnicy
NOUN+NOUN	tajemnicy	Narodzin
NOUN+NOUN	sensu	narodzin
NOUN+ADJ	programu	wyborczego
NOUN+ADJ	Produkt	filmowy
ADJ+NOUN	wspólną	ofertę
NOUN+VERB	ofertę	uznano
ADP+NOUN	ze	względu
ADJ+NOUN	oferowaną	cenę
NOUN+NOUN	program	rozwoju
NOUN+ADJ	pakiet	socjalny
VERB+NOUN	rzuciła	słuchawką
VERB+NOUN	Zrzucił	czapkę
ADJ+NOUN	koniecznych	reform
VERB+NOUN	Chronić	artykuły
NOUN+ADJ	artykuły	występujące
ADP+NOUN	bez	opakowania
ADP+NOUN	pod	kloszami
ADP+NOUN	w	gablotach
ADP+NOUN	W	trosce
ADP+NOUN	o	harmonię
NOUN+NOUN	harmonię	wnętrza
ADJ+NOUN	różnych	kolorach
ADP+NOUN	z	barwą
NOUN+NOUN	barwą	nadwozia
ADJ+NOUN	Stary	stenograf
VERB+NOUN	rozpostarł	ręce
VERB+PRON	wyciągnął	je
ADP+NOUN	ku	niebu
VERB+NOUN	skonkretyzować	konotacji
NOUN+PRON	wyrażenie	tego
ADJ+NOUN	bezcielesną	istotą
NOUN+NOUN	istotą	mitu
NOUN+NOUN	esencją	przeżyć
NOUN+ADJ	przeżyć	centralnych
ADP+NOUN	dla	egzystencji
NOUN+ADJ	egzystencji	ludzkiej
ADJ+NOUN	prawym	dopływem
ADP+NOUN	u	podnóża
ADP+NOUN	Podczas	rejestracji
NOUN+VERB	rejestracji	należy
VERB+NOUN	ustalić	hasło
VERB+PRON	zalogować	się
ADJ+NOUN	danym	forum
NOUN+NOUN	nazwy	uczestnika
ADP+NOUN	na	środku
NOUN+NOUN	środku	przedpokoju
VERB+NOUN	hipnotyzując	wzrokiem
ADP+NOUN	z	niedowierzaniem
NOUN+NOUN	Czas	przejazdu
ADP+NOUN	na	trasie
ADJ+NOUN	Najmniejszy	pretekst
ADP+NOUN	w	konsekwencji
NOUN+VERB	grupa	zaczyna
NOUN+VERB	cisza	podziałała
ADP+NOUN	u	szczytu
NOUN+NOUN	szczytu	sławy
NOUN+VERB	poeta	cyzelował
ADP+NOUN	do	dzisiaj
VERB+PRON	napisał	nic
ADP+NOUN	W	sprawę
NOUN+ADJ	sprawę	zamieszany
NOUN+NOUN	lata	więzienia
NOUN+NOUN	złotych	grzywny
ADJ+NOUN	warszawskiej	firmy
NOUN+ADJ	firmy	windykacyjnej
NOUN+ADJ	narzeczony	jednej
ADJ+NOUN	niedoszłych	ofiar
ADJ+NOUN	Głupi	pomysł
NOUN+VERB	postać	może
ADJ+NOUN	najmłodszy	poseł
ADJ+NOUN	prawdziwych	bestsellerów
ADJ+NOUN	rządzącej	partii
ADJ+NOUN	światowej	żony
ADJ+NOUN	podejrzanych	ladacznic
ADP+NOUN	na	ulicy
ADJ+NOUN	prawdziwego	więzienia
ADJ+NOUN	porządnej	koszuli
ADJ+NOUN	Krajowa	Rada
NOUN+NOUN	Rada	Sądownictwa
ADP+NOUN	z	urzędu
ADP+NOUN	na	wniosek
NOUN+ADJ	osoby	pokrzywdzonej
ADP+NOUN	przeciwko	sędziom
NOUN+ADJ	postępowania	dyscyplinarne
ADJ+NOUN	diabelski	wymysł
NOUN+NOUN	Poczucie	sprawiedliwości
ADP+NOUN	w	społeczeństwie
ADJ+NOUN	fałszywa	miara
NOUN+NOUN	miara	wartości
NOUN+NOUN	wartości	człowieka
NOUN+VERB	Napisy	okrążały
ADJ+NOUN	schematyczny	wizerunek
ADJ+NOUN	wypieczonego	chleba
NOUN+ADJ	Sytuacja	prawna
NOUN+ADJ	osób	oskarżonych
ADP+NOUN	o	powiązania
ADP+NOUN	z	mafią
VERB+PRON	zadowalając	się
ADJ+NOUN	formalnym	dozorem
NOUN+ADJ	dozorem	policyjnym
ADP+NOUN	do	rozmowy
NOUN+ADJ	rozmowy	ośmielająca
NOUN+VERB	pan	zna
VERB+NOUN	wie	pan
ADJ+NOUN	cały	czas
NOUN+VERB	czas	chorował
ADP+NOUN	nad	łóżkiem
NOUN+VERB	łóżkiem	miał
ADJ+NOUN	wielką	półkę
ADP+NOUN	z	książkami
ADJ+NOUN	łacińskich	autorów
NOUN+VERB	krytyka	trafia
VERB+PRON	integruje	się
ADJ+NOUN	usłyszanymi	wyobrażeniami
VERB+NOUN	pobrać	próbek
ADP+NOUN	do	liczenia
VERB+NOUN	kocha	zwierzęta
ADJ+NOUN	czystego	trawnika
ADP+NOUN	Na	stadionie
ADJ+NOUN	międzypaństwowym	meczu
NOUN+ADJ	meczu	piłkarskim
ADJ+NOUN	Ostatnie	pisma
ADP+NOUN	ze	spółdzielń
ADP+NOUN	z	czerwca
ADP+NOUN	w	sińcach
NOUN+VERB	lekarze	gipsowali
VERB+PRON	gipsowali	mu
VERB+NOUN	przyciągnąć	wyborców
ADJ+NOUN	zużytymi	sloganami
ADJ+NOUN	Oficjalna	część
NOUN+NOUN	część	obchodów
VERB+PRON	rozpoczęła	się
NOUN+ADJ	mszą	świętą
ADP+NOUN	w	intencji
ADJ+NOUN	zachodniopomorskiej	policji
ADP+NOUN	w	kościele
ADJ+NOUN	uroczysta	gala
NOUN+ADJ	gośćmi	specjalnymi
NOUN+NOUN	wiceminister	Spraw
NOUN+ADJ	Spraw	Wewnętrznych
NOUN+NOUN	zastępca	Komendanta
NOUN+ADJ	Komendanta	Głównego
VERB+PRON	odbędzie	się
VERB+PRON	salutują	mi
VERB+NOUN	trzymają	kamień
ADJ+NOUN	Różowiutki	sędzia
NOUN+VERB	sędzia	uderzył
VERB+NOUN	uderzył	pięścią
ADP+NOUN	w	stół
ADP+NOUN	W	piątek
ADP+NOUN	od	przedstawicieli
NOUN+NOUN	przedstawicieli	władz
NOUN+ADJ	władz	miejskich
ADJ+NOUN	zaproszonych	gości
VERB+NOUN	ma	lat
ADJ+NOUN	kruchej	budowy
ADJ+NOUN	okazałym	egzemplarzem
NOUN+VERB	egzemplarzem	dysponował
NOUN+VERB	Rodzice	pojechali
ADP+NOUN	na	pogrzeb
NOUN+NOUN	pogrzeb	kolegi
NOUN+NOUN	kolegi	ojca
ADP+NOUN	z	wojska
ADP+NOUN	na	stypie
ADP+NOUN	w	górach
VERB+PRON	oddaliło	nas
NOUN+VERB	sędzia	wydobył
ADJ+NOUN	przeciągły	ton
ADP+NOUN	z	trąbki
ADP+NOUN	ze	zdziwieniem
NOUN+ADJ	pan	przeciwny
VERB+NOUN	trenowali	skoki
ADP+NOUN	na	deskorolkach
ADP+NOUN	na	promocję
NOUN+NOUN	promocję	gminy
ADP+NOUN	w	stylu
NOUN+NOUN	część	środków
NOUN+ADJ	środki	niewygasające
ADP+NOUN	w	ramach
ADJ+NOUN	zakontraktowanych	świadczeń
ADP+NOUN	w	ramach
ADP+NOUN	na	rzecz
VERB+NOUN	zgłaszali	chęć
NOUN+NOUN	chęć	wykonania
ADJ+NOUN	cały	dzień
ADP+NOUN	w	Komisji
VERB+NOUN	kręcić	głową
ADP+NOUN	na	przykład
NOUN+NOUN	Świadomość	roli
NOUN+NOUN	roli	wykształcenia
ADP+NOUN	wśród	bezrobotnych
VERB+PRON	zaszkodzi	mi
ADP+NOUN	na	zdrowiu
ADP+NOUN	przed	sądem
ADP+NOUN	na	bioenergoterapeutę
ADP+NOUN	Dla	opozycji
ADP+NOUN	w	stosunkach
NOUN+ADJ	stosunkach	międzynarodowych
NOUN+NOUN	Program	nauczania
NOUN+NOUN	nauczania	geografii
VERB+NOUN	obliguje	nauczyciela
ADP+NOUN	do	wykorzystania
ADJ+NOUN	różnych	przyrządów
ADP+NOUN	do	przeprowadzania
NOUN+NOUN	przeprowadzania	pomiarów
NOUN+VERB	urzędnicy	zdecydowali
ADP+NOUN	o	budowie
ADJ+NOUN	nowego	mostu
ADP+NOUN	na	palce
ADJ+NOUN	skręcające	jointa
ADJ+PRON	sama	sobie
VERB+PRON	Cofała	się
VERB+PRON	sadowić	się
ADJ+NOUN	zamkniętym	pojemniku
ADP+NOUN	na	chleb
ADP+NOUN	na	frytkownicy
ADP+NOUN	na	pokrywce
ADJ+NOUN	dużego	garnka
NOUN+ADJ	wybory	ukraińskie
VERB+PRON	odbywały	się
NOUN+VERB	Ludzie	mówią
ADJ+NOUN	mniejszą	popularnością
ADP+NOUN	na	ziemi
ADJ+NOUN	niebieskiej	gazdówce
VERB+NOUN	wyskoczył	cwałem
ADP+NOUN	bez	hełmu
VERB+PRON	schylił	się
ADP+NOUN	za	szory
NOUN+NOUN	szory	zaprzęgu
VERB+NOUN	dostać	skierowanie
ADP+NOUN	do	szpitala
ADP+NOUN	od	lekarza
NOUN+ADJ	lekarza	rodzinnego
VERB+NOUN	ucięła	rozmowę
ADJ+NOUN	skomplikowanych	warunkach
NOUN+ADJ	warunkach	pogodowych
NOUN+VERB	cenę	dążyć
ADP+NOUN	do	odszukania
ADP+NOUN	w	zadaniu
ADP+NOUN	Do	końca
ADJ+NOUN	wyjaśnione	przyczyny
NOUN+NOUN	przyczyny	śmierci
NOUN+NOUN	śmierci	14-latka
NOUN+NOUN	konie	rycerza
ADP+NOUN	w	zamian
VERB+PRON	dał	mu
ADP+NOUN	w	gotówce
ADP+NOUN	Na	kostce
NOUN+VERB	kostce	drżało
ADJ+NOUN	całe	ciało
NOUN+NOUN	ciało	zawodników
NOUN+NOUN	Data	ważności
NOUN+NOUN	ważności	mleka
ADP+NOUN	na	kartonie
ADJ+NOUN	2	marzec
ADJ+NOUN	utworzony	rejestr
NOUN+NOUN	rejestr	parlamentarzystów
VERB+NOUN	łamią	dyscyplinę
NOUN+ADJ	dyscyplinę	klubową
VERB+NOUN	będzie	dyscyplina
NOUN+NOUN	notowania	Akcji
ADP+NOUN	po	upływie
NOUN+NOUN	upływie	terminu
NOUN+NOUN	terminu	ultimatum
NOUN+ADJ	siły	federalne
ADJ+NOUN	nowe	działania
NOUN+ADJ	działania	wojenne
ADP+NOUN	w	określeniu
ADJ+NOUN	docelowego	modelu
NOUN+NOUN	modelu	alokacji
VERB+NOUN	rozpoczął	rozmowę
VERB+NOUN	przyłożywszy	słuchawkę
ADP+NOUN	do	ucha
ADJ+NOUN	kompromitującym	czynie
NOUN+NOUN	likwidacja	świadków
ADJ+NOUN	typowy	sposób
NOUN+NOUN	sposób	postępowania
ADJ+PRON	szanujących	się
ADJ+NOUN	zakładowy	radiowęzeł
ADJ+NOUN	goebbelsowskiej	propagandy
NOUN+NOUN	teatrem	działań
NOUN+ADJ	działań	wojennych
VERB+NOUN	służy	pracy
VERB+NOUN	Pękła	rura
NOUN+NOUN	rura	wodociągu
NOUN+ADJ	intrygi	polityczne
ADJ+NOUN	genialne	posunięcia
ADP+NOUN	o	stosunku
ADP+NOUN	do	polityki
NOUN+NOUN	Zarząd	miasta
NOUN+NOUN	Zakład	Usług
NOUN+ADJ	Usług	Komunalnych
ADP+NOUN	z	projektem
NOUN+VERB	Słonka	żywi
VERB+PRON	żywi	się
NOUN+NOUN	rodzaju	owadami
VERB+NOUN	grzebiąc	dziobem
ADP+NOUN	w	liściach
ADP+NOUN	pod	drzewami
ADP+NOUN	przez	chwilę
ADP+NOUN	w	milczeniu
ADJ+NOUN	własne	oddechy
ADJ+NOUN	wspólny	element
NOUN+ADJ	stała	niezmienna
VERB+PRON	powtórzmy	to
ADP+NOUN	w	centrum
VERB+NOUN	jest	człowiek
NOUN+NOUN	twórca	kultury
ADP+NOUN	w	życie
ADJ+NOUN	szukająca	kryteriów
NOUN+NOUN	kryteriów	odróżnienia
NOUN+NOUN	odróżnienia	dobra
ADP+NOUN	od	zła
NOUN+NOUN	różnica	zarobków
VERB+PRON	Witały	ich
ADJ+NOUN	entuzjastyczne	oklaski
ADP+NOUN	w	urzędzie
NOUN+ADJ	urzędzie	skarbowym
ADJ+NOUN	fikcyjną	pożyczkę
ADP+NOUN	na	kwotę
NOUN+VERB	Kościół	prostuje
NOUN+ADJ	kręgosłup	moralny
ADP+NOUN	ze	względu
NOUN+NOUN	rolę	papieża
NOUN+ADJ	wybór	oceniany
ADP+NOUN	w	Kościele
NOUN+ADJ	Kościele	katolickim
VERB+PRON	trzeźwić	się
VERB+NOUN	zapraszał	reżysera
ADJ+NOUN	kolejnych	obrazach
VERB+PRON	zbliża	się
ADP+NOUN	po	miesiącach
NOUN+NOUN	miesiącach	doświadczeń
ADJ+NOUN	obecne	rządy
ADP+NOUN	o	cielesności
ADJ+NOUN	pierwszych	doświadczeń
ADP+NOUN	przed	związkiem
ADJ+NOUN	rozmaitych	kryzysach
NOUN+VERB	Biskup	cofnął
VERB+NOUN	cofnął	darowiznę
VERB+NOUN	zbudować	domek
VERB+NOUN	mieszkają	tubylcy
NOUN+NOUN	pacjenci	szpitali
ADP+NOUN	w	piątek
ADP+NOUN	przed	siedzibą
ADJ+NOUN	Narodowego	Funduszu
NOUN+NOUN	Funduszu	Zdrowia
ADP+NOUN	Na	szantażowanie
NOUN+NOUN	szantażowanie	gangstera
ADP+NOUN	Na	weselu
ADJ+NOUN	dużą	liczbą
NOUN+NOUN	liczbą	klientów
VERB+NOUN	Był	alkohol
ADP+NOUN	z	odrazą
ADP+NOUN	o	dziwo
ADJ+NOUN	20	sierpnia
ADJ+NOUN	starej	hydroforni
VERB+PRON	odbędzie	się
NOUN+ADJ	spotkanie	informacyjne
ADP+NOUN	dla	mieszkańców
VERB+PRON	przeszkadza	mi
ADJ+NOUN	cały	czas
