przyjąć do wiadomości	- Nasi koledzy nie chcą przyjąć do wiadomości , że jest inaczej , niż miało być . . .
zapomniał języka w gębie	Spojrzała na niego z ulotnym zainteresowaniem , właściwie bez zainteresowania , jakby był ciemną , romantyczną zjawą wynurzającą się z odmętów tej letniej nocy , że zapomniał języka w gębie i bezmyślnie gapił się na jej słynny biust , na słynne blond włosy rozpłomienione warszawskim splinem , na tę estradową panterę opiętą kolorowo zawrotną spódnicą i kolorowymi tekstami jeszcze bardziej zawrotnych piosenek Agnieszki Osieckiej , choć Lakis już coś tam bajerował o międzyludzkich fluidach , które wydzielają te cudowne piosenki przy słuchaniu i śpiewaniu .
jest w stanie	Nic jednak nie jest w stanie przesłonić faktu , że chińsko - rosyjskie strategiczne partnerstwo to raczej " małżeństwo z rozsądku " skazanych na sąsiedztwo mocarstw i że za każdym deklarowanym sukcesem kryje się jakieś " ale " .
narazić na niebezpieczeństwo	W poniedziałek dowódca sił ONZ w Sarajewie gen . Herve Gobilliard wydał rozkaz , by jego oddziały " w żadnym wypadku nie podejmowały wobec stron działań mogących narazić na niebezpieczeństwo życie żołnierzy " .
stanąć na czele	Król Konstantyn , który nie chciał czy nie umiał stanąć na czele walki z reżimem , stracił doszczętnie sympatię narodu .
dajcie zielone światło	Jeśli jednak różnice te nie pozwalają wam zbudować takiego formalnego porozumienia , dajcie zielone światło do współdziałania ludziom tworzącym wasze ugrupowania .
wejdą w skład	Na nadzwyczajnej sesji plenarnej w Brukseli Parlament Europejski zatwierdził w sobotę zdecydowaną większością głosów wprowadzenie wspólnej waluty europejskiej euro w 11 krajach , które od 1 stycznia 1999 roku wejdą w skład unii gospodarczej i walutowej w ramach UE .
przyszło do głowy	Czasem pożyczamy obrazy na wystawy , ale nikomu tu nie przyszło do głowy , żeby je oddać .
dostał w swoje ręce	Gdyby tę panią Mary Mc . . . dostał w swoje ręce . . .
doprowadziły do zatrzymania	Kolejne czynności doprowadziły do zatrzymania dwóch sprawców kradzieży ( mieszkańcy podhajnowskich wsi ) oraz dwóch paserów .
Nie ma co się bawić	Prof . Robert Nowak : Nie ma co się bawić z Urbanem procesami o porno itd . , tylko trzeba wprowadzić ( . . . ) opodatkowanie o wiele ostrzejsze pism skandalizujących , takich jak » NIE « Urbana , takich jak » Zły « , redagowany przez żonę Urbana , uderzyć Urbana po kieszeni i on by to zrozumiał .
ładuje paluchów między drzwi	Niech pan nie ładuje paluchów między drzwi ! – tak do mnie powiedział .
mające na celu	W 1995 r . , w związku z reformą ( istniejącej od 1973 r . ) Komisji do Spraw Konsumentów ( 15 przedstawicieli państw członkowskich i 5 przedstawicieli organizacji konsumenckich ) , przedstawiono dokument przewidujący m . in . akcje : w zakresie usług finansowych na rzecz konsumentów ; w zakresie podstawowych usług publicznoprawnych na rzecz konsumentów ; mające na celu umożliwienie korzystania konsumentom z dobrodziejstwa społeczeństwa informatycznego ; mające na celu wzmocnienie zaufania konsumentów do produktów żywieniowych ; promocji konsumpcji przyjaznej środowisku naturalnemu ; pomocy dla krajów Europy Centralnej i Wschodniej przy kreowaniu ich polityki konsumenckiej .
mające na celu	W 1995 r . , w związku z reformą ( istniejącej od 1973 r . ) Komisji do Spraw Konsumentów ( 15 przedstawicieli państw członkowskich i 5 przedstawicieli organizacji konsumenckich ) , przedstawiono dokument przewidujący m . in . akcje : w zakresie usług finansowych na rzecz konsumentów ; w zakresie podstawowych usług publicznoprawnych na rzecz konsumentów ; mające na celu umożliwienie korzystania konsumentom z dobrodziejstwa społeczeństwa informatycznego ; mające na celu wzmocnienie zaufania konsumentów do produktów żywieniowych ; promocji konsumpcji przyjaznej środowisku naturalnemu ; pomocy dla krajów Europy Centralnej i Wschodniej przy kreowaniu ich polityki konsumenckiej .
Kto rano wstaje , temu Pan Bóg daje	Jej receptą na długowieczność jest nieobjadanie się ( twierdzi , że od stołu powinno się wstawać głodnym ) , niezbyt długie spanie ( " Kto rano wstaje , temu Pan Bóg daje " ) , zgodne życie w małżeństwie i dbałość o dzieci .
cierpiał na paraliż	Mówi , że jej zwierzęta nie były agresywne : Olka spała na fotelu w kuchni , Punia miała dziewięciodniowego szczeniaka , od którego nie odeszłaby odeszła by , a Kajtek cierpiał na paraliż tylnych łap .
na depresję cierpią	Żona pod opieką Psychiatry wyjątkowo sprawnie dochodzi do siebie , zwłaszcza od kiedy jej wytłumaczył , że ludzie tak naprawdę mogą mieszkać tylko w innych ludziach , depresja to nic innego , jak bezdomność , na depresję cierpią ludzie , którzy nie mają w kim mieszkać , a potem zaproponował , że otworzy przed nią swoje drzwi .
zamykają się w sobie	Anka : Rodziny alkoholików - przeciwnie , zamykają się w sobie , izolują od ludzi .
nie ma co się	Natomiast podobnego plebiscytu nie ma co się na razie spodziewać w Tadżykistanie .
Nie dam sobie w kaszę dmuchać	Nie dam sobie w kaszę dmuchać ! - przechwalała się junacko .
miał na myśli	ŻYCIU wyjaśnił , że miał na myśli tyle , iż żadne zmiany personalne nie są wykluczone , ale nie one są najważniejsze .
na nogach są	Na starym tankowcu M/s " Norsel " na nogach są tylko rosyjscy marynarze i pan Marek , polski kucharz , który znakomicie gotuje .
mając na widoku	Warto natomiast spojrzeć na europejską gospodarkę w latach 1988-2000 oraz jej prognozę do 2005 r . - mając na widoku mniej lub bardziej odległą przyszłość gospodarki polskiej .
daje za wygraną	- Ale ofiara może być dobrowolna - nie daje za wygraną młodsza .
z wnioskiem wystąpił	Nie zgodził się na to zarząd po tym jak z wnioskiem wystąpił Zakład Gospodarki Komunalnej i Mieszkaniowej .
obowiązek domagać się	Jako działacz związkowy , jako radny , mam prawo , ale i obowiązek domagać się odpowiedzi , bowiem w tej radzie zasiadam z wyboru mieszkańców Bydgoskiego Przedmieścia , ludzi biednych , bezrobotnych i często jeszcze zamieszkujących w lokalach piwnicznych .
przyjmuje do wiadomości	Bywa często , że nosiciel przyjmuje do wiadomości wyrok losu fragmentarycznie - w pewnych sytuacjach zachowuje się racjonalnie , w innych uprawia myślenie życzeniowe .
stawia pierwsze kroki	Czy kiedy po raz pierwszy szedł do Jacka Kuronia , śniło mu się , że właśnie stawia pierwsze kroki na drodze do najbardziej prestiżowej amerykańskiej nagrody dziennikarskiej - Pulitzera - którą otrzyma za swoje korespondencje z Polski w roku 1982 ?
za stosowne wtrącić się	Uważałem Uważał em za stosowne wtrącić się do rozmowy : - Iwona , zapominasz , że ja mogę cię wyrzucić .
przyłapanego na gorącym uczynku	- Czy policjanci powinni ścigać złodzieja przyłapanego na gorącym uczynku , czy poprzestać na zabezpieczeniu mienia ?
pranie brudnych pieniędzy	Zarzuca mu pranie brudnych pieniędzy , płatną protekcję i udział w zorganizowanej grupie przestępczej .
przyszły na świat	Zwierzęta przyszły na świat w październiku i zgodnie z obowiązującym w ośrodku zwyczajem , zostały ochrzczone .
na marne pójdzie	Sukienka podłużona tiulową falbaną , bo w ciągu miesiąca od kupna wyrosła z niej tyczka grochowa , już krzywo ma wianek z perełkami , w deszczu na marne pójdzie matki staranie .
biją na alarm	Demografowie biją na alarm - w Polsce rodzi się coraz mniej dzieci .
Mamy do czynienia	- Mamy do czynienia z ewidentną walką polityczną o kierownictwo Instytutu - powiedział .
tworzeniu wartości dodanej	Natomiast w tworzeniu wartości dodanej brutto udział polskich MSP jest mniejszy niż w UE , co tłumaczy się głównie różnicą w strukturze wydajności pracy .
szukać dziury w całym	Drodzy radni , może wreszcie pomyślicie o dobru społeczeństwa , zamiast na siebie patrzeć bykiem i szukać dziury w całym i powodów do tego , aby odpłacić pięknym za nadobne .
nie mamy co	- PSL jest partią dosyć skromną , a skoro AWS nie wystawiła jeszcze kandydata , nie mamy co wysuwać się przed szereg - tłumaczy zwłokę w wyłonieniu kandydata Franciszek Stefaniuk , wicemarszałek Sejmu i nowy szef Rady Naczelnej stronnictwa .
oddany do użytku	U wylotu ul . Mickiewicza przy Rynku Spółdzielczy Dom Handlowy " Skarbek " ( proj . J . Jarecki ) , oddany do użytku w styczniu 1975 .
przebywał na emigracji	Gdy stało się jasne , że to już koniec , prezydent Gizikis wezwał Konstantinosa Karamanlisa , jednego z czołowych polityków , który przebywał na emigracji w Paryżu .
doprowadzić do zaburzeń	Intensywne i długotrwałe stosowanie ( zwłaszcza na dużych powierzchniach ciała ) może doprowadzić do zaburzeń równowagi hormonalnej ( steroidy absorbowane są przez skórę ) .
ma przed sobą	Obecnie , osoba w wieku 60 lat przeciętnie ma przed sobą jeszcze niemal 19 lat życia , a w wieku 65 lat - nieco ponad 16 lat .
robi w konia	Ale jak zaufać policji , która robi w konia kandydatów na policjantów ?
